 # iter    flux_conservation    flux_mean[1/s]    flux_std[1/s]    time_step[s]
   2520000    4.5899416613E-01    2.9865011757E+07    1.3707866168E+07    1.7187214886E-13
   2530000    4.5835992749E-01    2.9864278603E+07    1.3688588575E+07    1.7187214886E-13
   2540000    4.5772706820E-01    2.9863544653E+07    1.3669352740E+07    1.7187214886E-13
   2550000    4.5709557278E-01    2.9862809794E+07    1.3650158148E+07    1.7187214886E-13
   2560000    4.5646542606E-01    2.9862073914E+07    1.3631004292E+07    1.7187214886E-13
   2570000    4.5583661308E-01    2.9861336900E+07    1.3611890675E+07    1.7187214886E-13
   2580000    4.5520911920E-01    2.9860598641E+07    1.3592816806E+07    1.7187214886E-13
   2590000    4.5458292999E-01    2.9859859027E+07    1.3573782205E+07    1.7187214886E-13
   2600000    4.5395803131E-01    2.9859117947E+07    1.3554786400E+07    1.7187214886E-13
   2610000    4.5333440923E-01    2.9858375292E+07    1.3535828924E+07    1.7187214886E-13
   2620000    4.5271205045E-01    2.9857630962E+07    1.3516909334E+07    1.7187214886E-13
   2630000    4.5209094389E-01    2.9856884896E+07    1.3498027274E+07    1.7187214886E-13
   2640000    4.5147107942E-01    2.9856137051E+07    1.3479182422E+07    1.7187214886E-13
   2650000    4.5085244707E-01    2.9855387383E+07    1.3460374460E+07    1.7187214886E-13
   2660000    4.5023503706E-01    2.9854635849E+07    1.3441603078E+07    1.7187214886E-13
   2670000    4.4961883976E-01    2.9853882406E+07    1.3422867969E+07    1.7187214886E-13
   2680000    4.4900384569E-01    2.9853127011E+07    1.3404168834E+07    1.7187214886E-13
   2690000    4.4839004555E-01    2.9852369622E+07    1.3385505375E+07    1.7187214886E-13
   2700000    4.4777743019E-01    2.9851610196E+07    1.3366877301E+07    1.7187214886E-13
   2710000    4.4716599060E-01    2.9850848691E+07    1.3348284325E+07    1.7187214886E-13
   2720000    4.4655571791E-01    2.9850085064E+07    1.3329726166E+07    1.7187214886E-13
   2730000    4.4594660343E-01    2.9849319274E+07    1.3311202545E+07    1.7187214886E-13
   2740000    4.4533863857E-01    2.9848551278E+07    1.3292713189E+07    1.7187214886E-13
   2750000    4.4473181488E-01    2.9847781034E+07    1.3274257830E+07    1.7187214886E-13
   2760000    4.4412612408E-01    2.9847008500E+07    1.3255836200E+07    1.7187214886E-13
   2770000    4.4352155797E-01    2.9846233634E+07    1.3237448041E+07    1.7187214886E-13
   2780000    4.4291810851E-01    2.9845456394E+07    1.3219093094E+07    1.7187214886E-13
   2790000    4.4231576777E-01    2.9844676738E+07    1.3200771105E+07    1.7187214886E-13
   2800000    4.4171452794E-01    2.9843894624E+07    1.3182481826E+07    1.7187214886E-13
   2810000    4.4111438133E-01    2.9843110011E+07    1.3164225010E+07    1.7187214886E-13
   2820000    4.4051532035E-01    2.9842322857E+07    1.3146000413E+07    1.7187214886E-13
   2830000    4.3991733755E-01    2.9841533120E+07    1.3127807799E+07    1.7187214886E-13
   2840000    4.3932042555E-01    2.9840740759E+07    1.3109646929E+07    1.7187214886E-13
   2850000    4.3872457710E-01    2.9839945732E+07    1.3091517572E+07    1.7187214886E-13
   2860000    4.3812978505E-01    2.9839147999E+07    1.3073419499E+07    1.7187214886E-13
   2870000    4.3753604235E-01    2.9838347517E+07    1.3055352483E+07    1.7187214886E-13
   2880000    4.3694334179E-01    2.9837544269E+07    1.3037316303E+07    1.7187214886E-13
   2890000    4.3635167577E-01    2.9836738282E+07    1.3019310749E+07    1.7187214886E-13
   2900000    4.3576103677E-01    2.9835929591E+07    1.3001335612E+07    1.7187214886E-13
   2910000    4.3517141735E-01    2.9835118231E+07    1.2983390687E+07    1.7187214886E-13
   2920000    4.3458281020E-01    2.9834304238E+07    1.2965475776E+07    1.7187214886E-13
   2930000    4.3399520812E-01    2.9833487646E+07    1.2947590680E+07    1.7187214886E-13
   2940000    4.3340860402E-01    2.9832668493E+07    1.2929735206E+07    1.7187214886E-13
   2950000    4.3282299092E-01    2.9831846814E+07    1.2911909163E+07    1.7187214886E-13
   2960000    4.3223836194E-01    2.9831022647E+07    1.2894112364E+07    1.7187214886E-13
   2970000    4.3165471030E-01    2.9830196028E+07    1.2876344625E+07    1.7187214886E-13
   2980000    4.3107202933E-01    2.9829366995E+07    1.2858605764E+07    1.7187214886E-13
   2990000    4.3049031245E-01    2.9828535585E+07    1.2840895604E+07    1.7187214886E-13
   3000000    4.2990955317E-01    2.9827701836E+07    1.2823213968E+07    1.7187214886E-13
   3010000    4.2932974512E-01    2.9826865786E+07    1.2805560685E+07    1.7187214886E-13
   3020000    4.2875088186E-01    2.9826027481E+07    1.2787935585E+07    1.7187214886E-13
   3030000    4.2817295526E-01    2.9825187082E+07    1.2770338494E+07    1.7187214886E-13
   3040000    4.2759595607E-01    2.9824344833E+07    1.2752769243E+07    1.7187214886E-13
   3050000    4.2701987516E-01    2.9823500975E+07    1.2735227663E+07    1.7187214886E-13
   3060000    4.2644470368E-01    2.9822655749E+07    1.2717713594E+07    1.7187214886E-13
   3070000    4.2587043346E-01    2.9821809383E+07    1.2700226888E+07    1.7187214886E-13
